"run","verifierSetUpCPU","verifierSetUpMemory","verifierSetUpTime","proverCPU","proverMemory","proverTime","verifierVerifyCPU","verifierVerifyMemory","verifierVerifyTime"
188, 481.62, 488.38, 733.80, 834.78, 434.05, 341.45, 5.80, 434.05, 0.02
189, 472.20, 488.57, 721.16, 862.45, 434.33, 333.09, 11.90, 434.33, 0.01
190, 493.25, 488.44, 721.90, 856.83, 434.00, 341.22, 8.74, 434.00, 0.02
191, 496.41, 488.46, 722.18, 846.89, 434.14, 339.03, 8.79, 434.14, 0.02
192, 473.57, 488.50, 720.91, 853.14, 433.99, 336.56, 14.76, 433.99, 0.01
193, 490.10, 488.17, 721.31, 837.83, 434.11, 354.50, 5.60, 434.11, 0.02
194, 486.72, 488.34, 720.27, 847.94, 434.16, 330.48, 11.99, 434.16, 0.01
195, 498.36, 488.53, 715.62, 834.29, 434.19, 347.98, 8.57, 434.19, 0.02
196, 486.01, 488.23, 723.76, 868.57, 434.10, 324.71, 12.19, 434.10, 0.01
197, 493.05, 488.48, 719.42, 868.31, 434.10, 327.78, 12.14, 434.10, 0.02
198, 449.62, 488.54, 731.88, 825.81, 434.14, 346.43, 11.47, 434.14, 0.01
199, 490.50, 488.34, 715.37, 851.76, 433.94, 334.58, 8.87, 433.94, 0.02
200, 451.76, 488.71, 732.77, 853.14, 434.18, 335.28, 11.81, 434.18, 0.01
201, 494.82, 488.67, 727.24, 814.44, 434.16, 342.76, 8.66, 434.16, 0.02
202, 464.21, 488.39, 718.91, 841.03, 434.17, 337.95, 11.72, 434.17, 0.01
203, 486.66, 488.36, 726.07, 865.03, 434.30, 328.60, 15.12, 434.30, 0.02
204, 477.82, 488.61, 721.64, 844.21, 434.37, 348.43, 5.70, 434.37, 0.01
205, 475.42, 488.47, 733.91, 836.24, 434.16, 356.57, 8.36, 434.16, 0.02
206, 489.12, 488.30, 714.59, 856.51, 433.90, 334.28, 14.87, 433.90, 0.02
207, 488.55, 488.41, 727.58, 854.71, 434.14, 336.95, 14.79, 434.14, 0.02
208, 478.49, 488.61, 721.08, 839.93, 434.29, 334.28, 11.83, 434.29, 0.01
209, 448.68, 488.49, 746.26, 824.33, 434.04, 346.64, 14.31, 434.04, 0.01
210, 489.27, 488.53, 724.45, 848.62, 434.40, 336.03, 8.84, 434.40, 0.01
211, 489.27, 488.75, 723.77, 848.44, 434.24, 337.27, 5.87, 434.24, 0.02
212, 490.72, 488.91, 717.52, 853.72, 434.41, 342.56, 11.62, 434.41, 0.01
213, 491.78, 488.69, 718.85, 852.14, 443.68, 333.50, 14.90, 443.68, 0.01
